CAMPUS,DNAME,CNAME,GRADE,m_all_unsatgl_nm,m_sexm_unsatgl_nm,m_sexf_unsatgl_nm,m_ethh_unsatgl_nm,m_ethi_unsatgl_nm,m_etha_unsatgl_nm,m_ethb_unsatgl_nm,m_ethp_unsatgl_nm,m_ethw_unsatgl_nm,m_ecoy_unsatgl_nm,m_econ_unsatgl_nm,m_eco1_unsatgl_nm,m_eco2_unsatgl_nm,m_eco9_unsatgl_nm,m_ti19_unsatgl_nm,m_migy_unsatgl_nm,m_mign_unsatgl_nm,m_spey_unsatgl_nm,m_spen_unsatgl_nm,m_gify_unsatgl_nm,m_gifn_unsatgl_nm,m_atry_unsatgl_nm,m_atrn_unsatgl_nm,m_all_approgl_nm,m_sexm_approgl_nm,m_sexf_approgl_nm,m_ethh_approgl_nm,m_ethi_approgl_nm,m_etha_approgl_nm,m_ethb_approgl_nm,m_ethp_approgl_nm,m_ethw_approgl_nm,m_ecoy_approgl_nm,m_econ_approgl_nm,m_eco1_approgl_nm,m_eco2_approgl_nm,m_eco9_approgl_nm,m_ti19_approgl_nm,m_migy_approgl_nm,m_mign_approgl_nm,m_spey_approgl_nm,m_spen_approgl_nm,m_gify_approgl_nm,m_gifn_approgl_nm,m_atry_approgl_nm,m_atrn_approgl_nm,m_all_meetsgl_nm,m_sexm_meetsgl_nm,m_sexf_meetsgl_nm,m_ethh_meetsgl_nm,m_ethi_meetsgl_nm,m_etha_meetsgl_nm,m_ethb_meetsgl_nm,m_ethp_meetsgl_nm,m_ethw_meetsgl_nm,m_ecoy_meetsgl_nm,m_econ_meetsgl_nm,m_eco1_meetsgl_nm,m_eco2_meetsgl_nm,m_eco9_meetsgl_nm,m_ti19_meetsgl_nm,m_migy_meetsgl_nm,m_mign_meetsgl_nm,m_spey_meetsgl_nm,m_spen_meetsgl_nm,m_gify_meetsgl_nm,m_gifn_meetsgl_nm,m_atry_meetsgl_nm,m_atrn_meetsgl_nm,m_all_mastrgl_nm,m_sexm_mastrgl_nm,m_sexf_mastrgl_nm,m_ethh_mastrgl_nm,m_ethi_mastrgl_nm,m_etha_mastrgl_nm,m_ethb_mastrgl_nm,m_ethp_mastrgl_nm,m_ethw_mastrgl_nm,m_ecoy_mastrgl_nm,m_econ_mastrgl_nm,m_eco1_mastrgl_nm,m_eco2_mastrgl_nm,m_eco9_mastrgl_nm,m_ti19_mastrgl_nm,m_migy_mastrgl_nm,m_mign_mastrgl_nm,m_spey_mastrgl_nm,m_spen_mastrgl_nm,m_gify_mastrgl_nm,m_gifn_mastrgl_nm,m_atry_mastrgl_nm,m_atrn_mastrgl_nm,School Number,School Site Street Address,School Site City,School Site Zip,District Type
1902103,CAYUGA ISD,CAYUGA ELEM.,3,6.0,4.0,2.0,,,,,,4.0,6.0,0.0,5.0,1.0,,,,6.0,4.0,2.0,,6.0,3.0,3.0,40.0,20.0,20.0,,,,,,34.0,17.0,23.0,12.0,5.0,,,,40.0,3.0,37.0,,36.0,11.0,29.0,38.0,19.0,19.0,,,,,,32.0,15.0,23.0,10.0,5.0,,,,38.0,2.0,36.0,,34.0,10.0,28.0,27.0,14.0,13.0,,,,,,22.0,7.0,20.0,5.0,2.0,,,,27.0,1.0,26.0,,23.0,5.0,22.0,'001902103,17750 N US HWY 287,TENNESSEE COLONY,75861,INDEPENDENT
1903102,ELKHART ISD,ELKHART INTERME,3,26.0,15.0,11.0,4.0,,,3.0,,18.0,21.0,5.0,20.0,,,,,26.0,6.0,20.0,,26.0,7.0,19.0,68.0,33.0,35.0,6.0,,,2.0,,58.0,34.0,34.0,32.0,,,,,68.0,0.0,68.0,,66.0,17.0,51.0,37.0,18.0,19.0,4.0,,,0.0,,33.0,11.0,26.0,9.0,,,,,37.0,0.0,37.0,,35.0,7.0,30.0,12.0,5.0,7.0,1.0,,,0.0,,11.0,3.0,9.0,3.0,,,,,12.0,0.0,12.0,,10.0,2.0,10.0,'001903102,301 E PARKER ST,ELKHART,75839-9701,INDEPENDENT
1904102,FRANKSTON ISD,FRANKSTON ELEM.,3,16.0,7.0,9.0,1.0,,,4.0,,10.0,12.0,4.0,12.0,,,,,16.0,4.0,12.0,,16.0,12.0,4.0,39.0,23.0,16.0,4.0,,,2.0,,30.0,22.0,17.0,22.0,,,,,39.0,1.0,38.0,,36.0,13.0,26.0,26.0,17.0,9.0,3.0,,,1.0,,21.0,14.0,12.0,14.0,,,,,26.0,0.0,26.0,,23.0,7.0,19.0,10.0,6.0,4.0,1.0,,,0.0,,8.0,4.0,6.0,4.0,,,,,10.0,0.0,10.0,,7.0,1.0,9.0,'001904102,100 PERRY ST,FRANKSTON,75763-0428,INDEPENDENT
1906102,NECHES ISD,NECHES ELEM.,3,5.0,2.0,3.0,1.0,,,,,1.0,4.0,1.0,4.0,,,,,5.0,,5.0,,5.0,,4.0,20.0,11.0,9.0,4.0,,,,,15.0,6.0,14.0,6.0,,,,,20.0,,18.0,,18.0,,17.0,7.0,4.0,3.0,0.0,,,,,7.0,0.0,7.0,0.0,,,,,7.0,,7.0,,5.0,,7.0,2.0,1.0,1.0,0.0,,,,,2.0,0.0,2.0,0.0,,,,,2.0,,2.0,,1.0,,2.0,'001906102,3055 FM 2574,PALESTINE,75803,INDEPENDENT
1907107,PALESTINE ISD,SOUTHSIDE ELEM.,3,46.0,20.0,26.0,14.0,,,19.0,,9.0,40.0,6.0,38.0,2.0,,,,46.0,11.0,35.0,0.0,46.0,31.0,15.0,174.0,93.0,81.0,76.0,,,39.0,,51.0,131.0,43.0,123.0,8.0,,,,174.0,9.0,165.0,6.0,168.0,74.0,100.0,93.0,56.0,37.0,39.0,,,16.0,,33.0,64.0,29.0,60.0,4.0,,,,93.0,4.0,89.0,6.0,87.0,37.0,56.0,51.0,31.0,20.0,23.0,,,8.0,,17.0,34.0,17.0,31.0,3.0,,,,51.0,3.0,48.0,6.0,45.0,24.0,27.0,'001907107,201 GILLESPIE RD,PALESTINE,75801-7627,INDEPENDENT
1908101,WESTWOOD ISD,WESTWOOD ELEM.,3,50.0,23.0,27.0,17.0,,,9.0,,22.0,43.0,7.0,38.0,5.0,,,,50.0,7.0,43.0,,50.0,38.0,12.0,56.0,21.0,35.0,11.0,,,7.0,,36.0,42.0,14.0,34.0,8.0,,,,56.0,2.0,54.0,,53.0,18.0,38.0,22.0,8.0,14.0,2.0,,,1.0,,18.0,17.0,5.0,11.0,6.0,,,,22.0,0.0,22.0,,19.0,3.0,19.0,6.0,2.0,4.0,0.0,,,0.0,,5.0,6.0,0.0,4.0,2.0,,,,6.0,0.0,6.0,,4.0,1.0,5.0,'001908101,2305 SALT WORKS RD,PALESTINE,75803-3955,INDEPENDENT
1909101,SLOCUM ISD,SLOCUM PRE-K -,3,5.0,3.0,2.0,,,,,,3.0,4.0,1.0,2.0,,,,,5.0,,3.0,,5.0,4.0,1.0,22.0,13.0,9.0,,,,,,16.0,15.0,7.0,14.0,,,,,22.0,,21.0,,21.0,9.0,13.0,13.0,7.0,6.0,,,,,,9.0,10.0,3.0,9.0,,,,,13.0,,13.0,,12.0,5.0,8.0,5.0,2.0,3.0,,,,,,3.0,2.0,3.0,2.0,,,,,5.0,,5.0,,4.0,1.0,4.0,'001909101,5765 E STATE HWY 294,ELKHART,75839-9802,INDEPENDENT
2901101,ANDREWS ISD,DEVONIAN ELEM.,3,49.0,22.0,27.0,38.0,,,,,10.0,24.0,25.0,23.0,1.0,,,,49.0,14.0,35.0,0.0,49.0,24.0,25.0,232.0,124.0,108.0,142.0,,,,,82.0,91.0,141.0,83.0,8.0,,,,232.0,9.0,223.0,21.0,211.0,31.0,201.0,144.0,82.0,62.0,81.0,,,,,57.0,44.0,100.0,41.0,3.0,,,,144.0,3.0,141.0,21.0,123.0,11.0,133.0,69.0,41.0,28.0,33.0,,,,,32.0,23.0,46.0,21.0,2.0,,,,69.0,1.0,68.0,18.0,51.0,2.0,67.0,'002901101,1214 NW 11TH ST,ANDREWS,79714-3240,INDEPENDENT
3801103,PINEYWOODS COMM,SARAH STRINDEN,3,15.0,7.0,8.0,2.0,,,3.0,,6.0,11.0,4.0,10.0,1.0,,,,15.0,,13.0,0.0,15.0,2.0,13.0,65.0,33.0,32.0,24.0,,,6.0,,32.0,39.0,26.0,32.0,7.0,,,,65.0,,63.0,5.0,60.0,9.0,56.0,44.0,21.0,23.0,13.0,,,4.0,,26.0,24.0,20.0,19.0,5.0,,,,44.0,,44.0,5.0,39.0,1.0,43.0,28.0,13.0,15.0,7.0,,,3.0,,17.0,16.0,12.0,12.0,4.0,,,,28.0,,28.0,4.0,24.0,0.0,28.0,'003801103,602 S RAGUET ST,LUFKIN,75904,CHARTER
3902102,HUDSON ISD,W.H. BONNER ELE,3,27.0,16.0,11.0,13.0,,,2.0,,10.0,22.0,5.0,22.0,0.0,,,,27.0,4.0,23.0,0.0,27.0,16.0,11.0,166.0,78.0,88.0,37.0,,,10.0,,111.0,81.0,85.0,76.0,5.0,,,,166.0,8.0,158.0,6.0,160.0,61.0,105.0,107.0,49.0,58.0,20.0,,,5.0,,76.0,43.0,64.0,38.0,5.0,,,,107.0,3.0,104.0,6.0,101.0,33.0,74.0,49.0,19.0,30.0,9.0,,,3.0,,34.0,22.0,27.0,21.0,1.0,,,,49.0,1.0,48.0,6.0,43.0,11.0,38.0,'003902102,536 FM 3258,LUFKIN,75904,INDEPENDENT
